uen,registration_year,primary_ssic_code,postal_code
201802446Z,2018,90,439965
53368070X,2017,49,529948
53400616K,2019,59,570270
201925142C,2019,46,520937
201900944C,2019,46,049422
53358160E,2017,47,760605
53392495B,2019,43,627607
53399848D,2019,62,649486
53405354L,2019,70,440071
201939661M,2019,25,627563
53407400J,2019,47,640850
201708304G,2017,66,249722
53357534J,2017,91,730518
53369657K,2017,47,729675
53398930B,2019,74,310107
53397884W,2019,85,320106
53372973D,2017,47,465560
201914326N,2019,70,199591
201817512M,2018,46,069113
201941811E,2019,70,469987
53377876W,2018,47,640491
201842491C,2018,46,608526
201827949D,2018,95,159140
53403368K,2019,69,644273
201727576G,2017,86,528828
201702903E,2017,64,588998
201727233Z,2017,56,049383
201934661K,2019,30,627606
201837667C,2018,95,608583
201709328M,2017,82,099254
201913339D,2019,47,408564
201810048H,2018,46,069532
53362790K,2017,56,190009
201922979D,2019,74,188778
53376953A,2018,52,510142
53399688X,2019,96,670238
201711134Z,2017,46,089747
201913793M,2019,70,079024
201937399C,2019,46,048545
201729332R,2017,01,328958
201839939C,2018,62,419443
53376514E,2018,77,560622
53385728K,2018,47,650301
201936875H,2019,56,680664
201715864E,2017,64,787471
201917656E,2019,64,659526
201711534W,2017,55,048695
201833067H,2018,52,049704
201707168C,2017,64,089844
201724057K,2017,64,089844
201803189R,2018,64,089844
201804497G,2018,64,089844
201923726N,2019,64,089844
201728192G,2017,21,059818
201942337Z,2019,62,787494
201805422Z,2018,93,179021
201837133G,2018,64,408830
201831905H,2018,46,408830
201805137D,2018,64,596230
201837149E,2018,46,408830
201808735W,2018,46,596230
201837184C,2018,82,408830
201805228R,2018,77,408830
201819452C,2018,70,736689
201939024G,2019,64,048693
201705722Z,2017,59,573960
201802076Z,2018,42,388563
201717818W,2017,88,669915
201706947E,2017,85,409051
201928701R,2019,70,079903
201928600K,2019,64,609966
53382364A,2018,77,600056
201911789M,2019,46,079903
201831891E,2018,74,049422
201806655R,2018,64,189721
T18LL1381F,2018,47,300069
53360516D,2017,56,486116
53374280C,2017,47,641274
201918300H,2019,64,098207
53360211D,2017,86,457102
201721152C,2017,64,828774
201920938H,2019,47,051531
201804603W,2018,62,409015
53394322A,2019,28,806258
201705311W,2017,56,486116
201828682K,2018,52,238869
201815945H,2018,62,068808
201720182D,2017,46,569880
201829716R,2018,70,050531
201820031W,2018,85,189721
201829504M,2018,43,555856
201704007K,2017,70,308899
201813382G,2018,74,179098
53378699A,2018,52,761426
53402332X,2019,49,409051
201929708H,2019,82,368001
201709646Z,2017,46,079903
201826433R,2018,62,048616
201913958E,2019,46,159545
201935869D,2019,64,348578
53403546M,2019,46,416421
201900657D,2019,46,049909
201906503Z,2019,64,188727
201728264E,2017,56,079027
T17PF0018K,2017,69,068805
201915593R,2019,70,039190
201912207M,2019,68,179098
201802038K,2018,78,069533
201830185W,2018,70,069534
201822933D,2018,70,038987
201701932R,2017,52,454852
T17LL1960G,2017,85,079903
201902989Z,2019,46,539647
201807368N,2018,70,449291
53407616E,2019,81,532992
201733864H,2017,28,038989
201708364D,2017,46,569880
201824768Z,2018,56,367956
201905841R,2019,68,757087
201919079H,2019,68,757087
201905844H,2019,68,757087
201905838Z,2019,68,757087
201917563K,2019,68,757087
201905847C,2019,68,757087
201905858E,2019,68,757087
201905854C,2019,68,757087
201821186G,2018,68,757087
201900987E,2019,46,050335
53391389J,2018,49,573969
53357928K,2017,47,541117
201708134R,2017,47,415934
201735350M,2017,55,048581
201704161R,2017,47,049705
53390461K,2018,70,670226
201804483K,2018,70,079903
53378294E,2018,62,169074
201940532C,2019,86,217562
201706736M,2017,64,248373
201901180H,2019,66,049712
201901183C,2019,66,049712
201839149W,2018,64,049712
201929055W,2019,63,409051
201910167C,2019,46,139935
201736238R,2017,66,159836
201939736D,2019,82,437844
201913734G,2019,62,310219
53354486J,2017,81,079903
201736203D,2017,81,079903
201713344N,2017,56,298192
201942819H,2019,56,298192
53406892L,2019,56,570213
201706767C,2017,56,437844
53378825X,2018,96,600132
201703986R,2017,70,440035
201828048W,2018,70,737854
201714176C,2017,56,059763
201932853R,2019,64,737919
201818125R,2018,69,059413
201943608M,2019,64,018981
201933785W,2019,70,208787
201801783E,2018,66,099254
201821480E,2018,64,099254
201812671K,2018,64,099254
201720986D,2017,62,556114
53405165X,2019,63,389799
201734377W,2017,70,048692
201900277K,2019,77,349245
201703223E,2017,56,199001
201736669D,2017,70,048619
201932942G,2019,47,199001
53369150L,2017,70,579819
201929990E,2019,82,199001
53396733C,2019,96,644656
201730425C,2017,78,429979
201703538R,2017,71,640852
201836146R,2018,56,518169
201910133Z,2019,58,238875
201721335W,2017,56,199001
201927153W,2019,46,228208
201728882R,2017,47,199001
201704925E,2017,56,199001
201732275H,2017,56,199001
53405521D,2019,96,150011
201933914G,2019,96,510625
T19LL0104H,2019,96,437101
201725102D,2017,56,560563
53405012C,2019,77,510211
201732278C,2017,56,199001
201942560K,2019,56,199001
201934031E,2019,47,199001
201905701K,2019,64,048619
201921397D,2019,56,199001
T19LP0036K,2019,64,238832
201928580W,2019,64,238832
201909216K,2019,64,238832
201832823N,2018,70,238832
201916334W,2019,70,219557
53369488D,2017,62,259805
201900314R,2019,93,652288
53377732A,2018,70,247966
201722733K,2017,70,536209
53381634C,2018,46,600112
201722288R,2017,70,069533
201840214K,2018,25,238852
T17LL0795G,2017,47,409015
53390189L,2018,56,400321
53377169B,2018,77,732180
53373149J,2017,85,680471
53396869X,2019,47,459043
201711092Z,2017,62,048695
53388495X,2018,47,090040
T18LL1166E,2018,46,573969
201911569W,2019,70,149053
201702662G,2017,27,211671
201920602C,2019,82,389687
53385114M,2018,86,098621
201705813M,2017,58,048421
53397699E,2019,68,751592
201728106R,2017,52,380019
201805186R,2018,72,415934
201733863W,2017,70,415934
201809465H,2018,62,079903
53386396A,2018,78,200633
201903233E,2019,47,731012
53398496C,2019,47,752354
201731305W,2017,64,308900
53355154D,2017,49,448909
201806834H,2018,70,608550
53401417L,2019,69,098632
53383793J,2018,70,670423
201718859R,2017,78,179805
T18LL0526B,2018,80,528840
201701429G,2017,46,639129
201708953G,2017,64,228095
201703553G,2017,46,048616
201705955Z,2017,64,049315
201931143E,2019,71,058358
201720852G,2017,70,328823
201935716M,2019,46,208787
201837875C,2018,46,069533
201717741E,2017,46,218309
53382263K,2018,62,823661
53389724J,2018,47,530108
201817790C,2018,46,528559
201930476D,2019,38,415978
201720592N,2017,42,731572
53383248M,2018,59,521879
201912456N,2019,63,415875
T19LL0881H,2019,64,190006
201725781C,2017,62,188735
201918012Z,2019,41,759154
53375717K,2018,46,338730
53389024A,2018,85,821204
201732635R,2017,86,545523
53406096W,2019,52,142043
201719587E,2017,62,068914
201927080H,2019,28,628877
201813187M,2018,66,069532
53405478A,2019,46,640488
53371237L,2017,47,648202
201736052G,2017,46,188216
53480777A,2019,47,217973
201834628M,2018,43,541123
201929517C,2019,46,069534
201900101C,2019,63,039190
201824116G,2018,56,089594
201812497M,2018,62,338794
53397494A,2019,82,767997
201904544H,2019,70,190013
201929177Z,2019,62,534818
201943795H,2019,41,150123
201932965E,2019,46,528836
201928081R,2019,52,415978
53390104M,2018,65,468708
